,WineID,WineName,WineryName,Country,Type,full_text
0,100001,Espumante Moscatel,Casa Perini,Brazil,Sparkling,Espumante Moscatel by Casa Perini (Brazil)
1,100002,Ancellotta,Casa Perini,Brazil,Red,Ancellotta by Casa Perini (Brazil)
2,100003,Cabernet Sauvignon,Castellamare,Brazil,Red,Cabernet Sauvignon by Castellamare (Brazil)
3,100005,Maison de Ville Cabernet-Merlot,Aurora,Brazil,Red,Maison de Ville Cabernet-Merlot by Aurora (Brazil)
4,100007,Do Lugar Moscatel Espumantes,Dal Pizzol,Brazil,Sparkling,Do Lugar Moscatel Espumantes by Dal Pizzol (Brazil)
5,100008,Paradoxo Cabernet Sauvignon,Salton,Brazil,Red,Paradoxo Cabernet Sauvignon by Salton (Brazil)
6,100010,Defesa Tinto,Esporão,Portugal,Red,Defesa Tinto by Esporão (Portugal)
7,100012,Vinho Verde Branco,Calamares,Portugal,White,Vinho Verde Branco by Calamares (Portugal)
8,100013,Ruby Port,Porto Ferreira,Portugal,Dessert/Port,Ruby Port by Porto Ferreira (Portugal)
9,100014,Tawny Port,Porto Ferreira,Portugal,Dessert/Port,Tawny Port by Porto Ferreira (Portugal)
10,100016,Acquasantiera Tinto Seco Fino,Garibaldi,Brazil,Red,Acquasantiera Tinto Seco Fino by Garibaldi (Brazil)
11,100017,Colheita Tardia Malvasia-Moscato,Aurora,Brazil,Dessert,Colheita Tardia Malvasia-Moscato by Aurora (Brazil)
12,100018,Cave Cabernet Sauvignon,Luiz Argenta,Brazil,Red,Cave Cabernet Sauvignon by Luiz Argenta (Brazil)
13,100019,Singular Nebbiolo,Lidio Carraro,Brazil,Red,Singular Nebbiolo by Lidio Carraro (Brazil)
14,100021,Merlot Reserva,Pizzato,Brazil,Red,Merlot Reserva by Pizzato (Brazil)
15,100022,Malbec Brut Rosé,Don Guerino,Brazil,Sparkling,Malbec Brut Rosé by Don Guerino (Brazil)
16,100025,Espumante Método Charmat Brut,Casa Perini,Brazil,Sparkling,Espumante Método Charmat Brut by Casa Perini (Brazil)
17,100046,Vista de Serra Syrah,Guaspari,Brazil,Red,Vista de Serra Syrah by Guaspari (Brazil)
18,100049,Cuvée Giuseppe Merlot-Cabernet Sauvignon,Miolo,Brazil,Red,Cuvée Giuseppe Merlot-Cabernet Sauvignon by Miolo (Brazil)
19,100052,Reserva Tannat,Aurora,Brazil,Red,Reserva Tannat by Aurora (Brazil)
20,100055,Millesimé Cabernet Sauvignon,Aurora,Brazil,Red,Millesimé Cabernet Sauvignon by Aurora (Brazil)
21,100056,Brut Prosecco,Salton,Brazil,Sparkling,Brut Prosecco by Salton (Brazil)
22,100060,Reserva Tannat,Miolo,Brazil,Red,Reserva Tannat by Miolo (Brazil)
23,100061,Moscatel,Garibaldi,Brazil,Sparkling,Moscatel by Garibaldi (Brazil)
24,100062,Origem Merlot,Casa Valduga,Brazil,Red,Origem Merlot by Casa Valduga (Brazil)
25,100063,Quinta do Seival Estate Castas Portuguesas,Miolo,Brazil,Red,Quinta do Seival Estate Castas Portuguesas by Miolo (Brazil)
26,100064,Réserve Brut,CHANDON Brazil,Brazil,Sparkling,Réserve Brut by CHANDON Brazil (Brazil)
27,100067,Sur Lie Nature,Casa Valduga,Brazil,Sparkling,Sur Lie Nature by Casa Valduga (Brazil)
28,100073,Moscatel,Salton,Brazil,Sparkling,Moscatel by Salton (Brazil)
29,100080,Agnus Cabernet Sauvignon,Lidio Carraro,Brazil,Red,Agnus Cabernet Sauvignon by Lidio Carraro (Brazil)
30,100086,Selecão Chardonnay-Viognier,Miolo,Brazil,White,Selecão Chardonnay-Viognier by Miolo (Brazil)
31,100088,Aquarela Moscatel Espumante,Casa Perini,Brazil,Sparkling,Aquarela Moscatel Espumante by Casa Perini (Brazil)
32,100092,Nature,Cave Geisse,Brazil,Sparkling,Nature by Cave Geisse (Brazil)
33,100097,Terranova Espumante Moscatel,Miolo,Brazil,Sparkling,Terranova Espumante Moscatel by Miolo (Brazil)
34,100108,Colheita Tardia Malvasia Bianca,Aurora,Brazil,Dessert,Colheita Tardia Malvasia Bianca by Aurora (Brazil)
35,100114,Primeira Estrada Syrah,Vinicola Estrada Real,Brazil,Red,Primeira Estrada Syrah by Vinicola Estrada Real (Brazil)
36,100120,Marcus James Cabernet Sauvignon,Aurora,Brazil,Red,Marcus James Cabernet Sauvignon by Aurora (Brazil)
37,100125,Riche Demi-Sec,CHANDON Brazil,Brazil,Sparkling,Riche Demi-Sec by CHANDON Brazil (Brazil)
38,100129,Faces Pinot Noir Rosé,Lidio Carraro,Brazil,Rosé,Faces Pinot Noir Rosé by Lidio Carraro (Brazil)
39,100135,Cave Amadeu Rosé Brut,Cave Geisse,Brazil,Sparkling,Cave Amadeu Rosé Brut by Cave Geisse (Brazil)
40,100191,Reserva Chardonnay,Aurora,Brazil,White,Reserva Chardonnay by Aurora (Brazil)
41,100207,Paralelo 31 Proprietor Reserva,Bueno,Brazil,Red,Paralelo 31 Proprietor Reserva by Bueno (Brazil)
42,100305,Brut,Pizzato,Brazil,Sparkling,Brut by Pizzato (Brazil)
43,100523,Espumante Brut Rosé,Salton,Brazil,Sparkling,Espumante Brut Rosé by Salton (Brazil)
44,100556,Marie Gabi Rosado,Routhier & Darricarrère,Brazil,Rosé,Marie Gabi Rosado by Routhier & Darricarrère (Brazil)
45,100565,Varietal Riesling Itálico,Aurora,Brazil,White,Varietal Riesling Itálico by Aurora (Brazil)
46,100841,Licoroso Tinto,Aurora,Brazil,Dessert,Licoroso Tinto by Aurora (Brazil)
47,101008,Campo Largo Branco Seco de Mesa,Zanlorenzi,Brazil,White,Campo Largo Branco Seco de Mesa by Zanlorenzi (Brazil)
48,101052,Brut Classic,CHANDON California,United States,Sparkling,Brut Classic by CHANDON California (United States)
49,101154,Veneza Cabernet Sauvignon,Pietro Felice,Brazil,Red,Veneza Cabernet Sauvignon by Pietro Felice (Brazil)
50,101213,Reservado Cabernet Sauvignon,Pietro Felice,Brazil,Red,Reservado Cabernet Sauvignon by Pietro Felice (Brazil)
51,101424,STORIA Grappa Merlot,Casa Valduga,Brazil,Dessert,STORIA Grappa Merlot by Casa Valduga (Brazil)
52,101539,Vecchia Grappa Moscato,Aurora,Brazil,Dessert,Vecchia Grappa Moscato by Aurora (Brazil)
53,101563,Esporão Reserva Tinto,Esporão,Portugal,Red,Esporão Reserva Tinto by Esporão (Portugal)
54,101566,Monte Velho Tinto,Esporão,Portugal,Red,Monte Velho Tinto by Esporão (Portugal)
55,101567,Tinto,Quinta de Bons-Ventos,Portugal,Red,Tinto by Quinta de Bons-Ventos (Portugal)
56,101570,Tinto,Porca de Murca,Portugal,Red,Tinto by Porca de Murca (Portugal)
57,101576,Red Blend,Silk & Spice,Portugal,Red,Red Blend by Silk & Spice (Portugal)
58,101584,Flor de Crasto Tinto,Quinta do Crasto,Portugal,Red,Flor de Crasto Tinto by Quinta do Crasto (Portugal)
59,101586,The Original Rosé,Mateus,Portugal,Rosé,The Original Rosé by Mateus (Portugal)
60,101592,Meandro Douro Tinto,Quinta do Vale Meão,Portugal,Red,Meandro Douro Tinto by Quinta do Vale Meão (Portugal)
61,101595,Tinto (Touriga Nacional-Syrah-Aragonez),Ciconia,Portugal,Red,Tinto (Touriga Nacional-Syrah-Aragonez) by Ciconia (Portugal)
62,101610,Late Bottled Vintage Port,W. & J. Graham's,Portugal,Dessert/Port,Late Bottled Vintage Port by W. & J. Graham's (Portugal)
63,101617,Cedro do Noval,Quinta do Noval,Portugal,Red,Cedro do Noval by Quinta do Noval (Portugal)
64,101632,Vinho Verde Branco,Via Latina,Portugal,White,Vinho Verde Branco by Via Latina (Portugal)
65,101635,Vinho Verde Loureiro-Alvarinho,Aveleda,Portugal,White,Vinho Verde Loureiro-Alvarinho by Aveleda (Portugal)
66,101644,Meio Queijo Douro Tinto,Churchill's,Portugal,Red,Meio Queijo Douro Tinto by Churchill's (Portugal)
67,101651,Signature Tinto,Coutada Velha,Portugal,Red,Signature Tinto by Coutada Velha (Portugal)
68,101660,10 Year Old Tawny Port,W. & J. Graham's,Portugal,Dessert/Port,10 Year Old Tawny Port by W. & J. Graham's (Portugal)
69,101677,Reserva (Field Blend),Quinta do Vallado,Portugal,Red,Reserva (Field Blend) by Quinta do Vallado (Portugal)
